Date	Close(GCc1)	Close(SIc1)	Close(CLc1)
11/09/2020	1943.9	27.163	37.24
10/09/2020	1954.2	27.163	37.3
09/09/2020	1944.7	26.955	38.05
08/09/2020	1933	26.864	36.76
04/09/2020	1923.9	26.576	39.77
03/09/2020	1927.6	26.735	41.37
02/09/2020	1934.4	27.249	41.51
01/09/2020	1968.2	28.486	42.76
31/08/2020	1967.6	28.437	42.61
28/08/2020	1964.6	27.61	42.97
27/08/2020	1921.6	27.01	43.04
26/08/2020	1940.7	27.43	43.39
25/08/2020	1911.8	26.254	43.35
24/08/2020	1927.7	26.588	42.62
21/08/2020	1934.6	26.707	42.34
20/08/2020	1933.8	27.122	42.58
19/08/2020	1958.7	27.315	42.93
18/08/2020	1999.4	28.049	42.89
17/08/2020	1985	27.643	42.89
14/08/2020	1937	26.065	42.01
13/08/2020	1956.7	27.694	42.24
12/08/2020	1934.9	25.955	42.67
11/08/2020	1932.6	26.037	41.61
10/08/2020	2024.4	29.249	41.94
07/08/2020	2010.1	27.533	41.22
06/08/2020	2051.5	28.387	41.95
05/08/2020	2031.1	26.877	42.19
04/08/2020	2001.2	26.012	41.7
03/08/2020	1966	24.39	41.01
31/07/2020	1962.8	24.189	40.27
30/07/2020	1942.3	23.34	39.92
29/07/2020	1953.5	24.293	41.27
28/07/2020	1944.7	24.266	41.04
27/07/2020	1931	24.476	41.6
24/07/2020	1897.3	22.808	41.29
23/07/2020	1889.1	22.945	41.07
22/07/2020	1864.1	23.083	41.9
21/07/2020	1842.4	21.497	41.96
20/07/2020	1815.9	20.124	40.81
17/07/2020	1808.3	19.685	40.59
16/07/2020	1798.7	19.497	40.75
15/07/2020	1811.4	19.685	41.2
14/07/2020	1810.6	19.451	40.29
13/07/2020	1811	19.709	40.1
10/07/2020	1798.2	18.983	40.55
09/07/2020	1799.2	18.882	39.62
08/07/2020	1815.5	19.081	40.9
07/07/2020	1804.2	18.628	40.62
06/07/2020	1788.5	18.504	40.63
02/07/2020	1784	18.244	40.65
01/07/2020	1773.2	18.133	39.82
30/06/2020	1793	18.541	39.27
29/06/2020	1774.8	17.98	39.7
26/06/2020	1772.5	17.883	38.49
25/06/2020	1762.1	17.883	38.72
24/06/2020	1765.8	17.658	38.01
23/06/2020	1772.1	18.051	40.37
22/06/2020	1756.7	17.887	40.46
19/06/2020	1745.9	17.832	39.75
18/06/2020	1724.8	17.493	38.84
17/06/2020	1729.2	17.757	37.96
16/06/2020	1729.6	17.632	38.38
15/06/2020	1720.3	17.379	37.12
12/06/2020	1729.3	17.462	36.26
11/06/2020	1732	17.869	36.34
10/06/2020	1713.3	17.776	39.6
09/06/2020	1714.7	17.774	38.94
08/06/2020	1698.3	17.868	38.19
05/06/2020	1676.2	17.443	39.55
04/06/2020	1718.9	18.024	37.41
03/06/2020	1697.8	17.921	37.29
02/06/2020	1725.2	18.207	36.81
01/06/2020	1737.8	18.768	35.44
29/05/2020	1736.9	18.44	35.49
28/05/2020	1713.3	17.895	33.71
27/05/2020	1710.3	17.686	32.81
26/05/2020	1704.8	17.565	34.35
22/05/2020	1734.6	17.664	33.25
21/05/2020	1720.5	17.335	33.92
20/05/2020	1750.6	18.002	33.49
19/05/2020	1744.2	17.892	32.5
18/05/2020	1731.8	17.464	31.82
15/05/2020	1753.4	17.046	29.43
14/05/2020	1738.1	16.136	27.56
13/05/2020	1713.9	15.663	25.29
12/05/2020	1704.4	15.687	25.78
11/05/2020	1695.3	15.636	24.14
08/05/2020	1709.9	15.74	24.74
07/05/2020	1721.8	15.562	23.55
06/05/2020	1684.2	14.987	23.99
05/05/2020	1704.4	15.057	24.56
04/05/2020	1706.9	14.722	20.39
01/05/2020	1694.5	14.863	19.78
30/04/2020	1684.2	14.898	18.84
29/04/2020	1703.4	15.16	15.06
28/04/2020	1710.5	15.162	12.34
27/04/2020	1711.9	15.201	12.78
24/04/2020	1723.5	15.254	16.94
23/04/2020	1733.3	15.348	16.5
22/04/2020	1728.7	15.277	13.78
21/04/2020	1678.2	14.818	10.01
20/04/2020	1701.6	15.556	-37.63
17/04/2020	1689.2	15.237	18.27
16/04/2020	1720.4	15.564	19.87
15/04/2020	1727.2	15.447	19.87
14/04/2020	1756.7	16.072	20.11
13/04/2020	1744.8	15.479	22.41
09/04/2020	1736.2	15.995	22.76
08/04/2020	1665.4	15.147	25.09
07/04/2020	1664.8	15.422	23.63
06/04/2020	1677	15.111	26.08
03/04/2020	1633.7	14.436	28.34
02/04/2020	1625.7	14.596	25.32
01/04/2020	1578.2	13.926	20.31
31/03/2020	1583.4	14.098	20.48
30/03/2020	1622	14.074	20.09
27/03/2020	1623.9	14.498	21.51
26/03/2020	1650.1	14.64	22.6
25/03/2020	1632.3	14.837	24.49
24/03/2020	1660.2	14.229	24.01
23/03/2020	1567	13.225	23.36
20/03/2020	1484	12.349	22.43
19/03/2020	1478.6	12.097	25.22
18/03/2020	1477.3	11.735	20.37
17/03/2020	1524.9	12.469	26.95
16/03/2020	1485.9	12.772	28.7
13/03/2020	1515.7	14.456	31.73
12/03/2020	1589.3	15.961	31.5
11/03/2020	1641.4	16.729	32.98
10/03/2020	1659.1	16.906	34.36
09/03/2020	1674.5	17.001	31.13
06/03/2020	1670.8	17.214	41.28
05/03/2020	1666.4	17.342	45.9
04/03/2020	1641.1	17.187	46.78
03/03/2020	1642.1	17.129	47.18
02/03/2020	1592.3	16.679	46.75
28/02/2020	1564.1	16.387	44.76
27/02/2020	1640	17.658	47.09
26/02/2020	1640	17.826	48.73
25/02/2020	1646.9	18.183	49.9
24/02/2020	1672.4	18.868	51.43
21/02/2020	1644.6	18.521	53.38
20/02/2020	1616.6	18.309	53.78
19/02/2020	1607.5	18.292	53.29
18/02/2020	1600	18.131	52.05
